accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,collection_codeA,material_id,institution_codeB,collection_codeB,specimen_id,sample_accession,study_accession
KY587603,Pakistan,26.06 N 68.13 E,"Tetragnatha cf. vermiformis JJA-2017 voucher PUZ-IMP-1131 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Tetragnatha cf. vermiformis JJA-2017,ZFMK-DNA-FC19224914,,PUZ-IMP-1131,,,ZFMK-DNA-FC19224914,,,PUZ-IMP-1131,,
KY587604,Pakistan,26.06 N 68.13 E,"Tetragnatha javana voucher PUZ-IMP-1132 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Tetragnatha javana,ZFMK-DNA-FC19224906,,PUZ-IMP-1132,,,ZFMK-DNA-FC19224906,,,PUZ-IMP-1132,,
KY587605,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1039 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438766,,PUZ-IMP-1039,,,ZFMK-DNA-FC19438766,,,PUZ-IMP-1039,,
KY587606,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1041 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438782,,PUZ-IMP-1041,,,ZFMK-DNA-FC19438782,,,PUZ-IMP-1041,,
KY587607,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1114 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19224979,,PUZ-IMP-1114,,,ZFMK-DNA-FC19224979,,,PUZ-IMP-1114,,
KY587608,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1116 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19224963,,PUZ-IMP-1116,,,ZFMK-DNA-FC19224963,,,PUZ-IMP-1116,,
KY587609,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1117 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19224955,,PUZ-IMP-1117,,,ZFMK-DNA-FC19224955,,,PUZ-IMP-1117,,
KY587610,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1034 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438797,,PUZ-IMP-1034,,,ZFMK-DNA-FC19438797,,,PUZ-IMP-1034,,
KY587611,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher ZFMK-TIS-29515 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438805,,ZFMK-TIS-29515,,,ZFMK-DNA-FC19438805,,,ZFMK-TIS-29515,,
KY587612,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher ZFMK-TIS-29516 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438813,,ZFMK-TIS-29516,,,ZFMK-DNA-FC19438813,,,ZFMK-TIS-29516,,
KY587613,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher PUZ-IMP-1035 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438821,,PUZ-IMP-1035,,,ZFMK-DNA-FC19438821,,,PUZ-IMP-1035,,
KY587614,Pakistan,31.5 N 74.3 E,"Thyene imperialis voucher ZFMK-TIS-29517 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thyene imperialis,ZFMK-DNA-FC19438829,,ZFMK-TIS-29517,,,ZFMK-DNA-FC19438829,,,ZFMK-TIS-29517,,
KY587615,Pakistan,31.5 N 74.3 E,"Thomisus pugilis voucher PUZ-IMP-1126 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thomisus pugilis,ZFMK-DNA-FC19224970,,PUZ-IMP-1126,,,ZFMK-DNA-FC19224970,,,PUZ-IMP-1126,,
KY587616,Pakistan,31.5 N 74.3 E,"Thomisus pugilis voucher ZFMK-TIS-30018 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Thomisus pugilis,ZFMK-DNA-FC19224962,,ZFMK-TIS-30018,,,ZFMK-DNA-FC19224962,,,ZFMK-TIS-30018,,
KY650777,Russia:Lake Baikal,52.45 N 106.89 E,"Planothidium caputium strain B086-3 18S ribosomal RNA gene, partial sequence.",Planothidium caputium,B:DNA:26836,,IBIW:coll. M. Kulikovskiy B086-3,B,DNA,26836,IBIW,,coll. M. Kulikovskiy B086-3,,
KY650778,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium caputium strain B141 18S ribosomal RNA gene, partial sequence.",Planothidium caputium,B:DNA:26837,,IBIW:coll. M. Kulikovskiy B141,B,DNA,26837,IBIW,,coll. M. Kulikovskiy B141,,
KY650779,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium caputium strain B144 18S ribosomal RNA gene, partial sequence.",Planothidium caputium,B:DNA:26838,,IBIW:coll. M. Kulikovskiy B144,B,DNA,26838,IBIW,,coll. M. Kulikovskiy B144,,
KY650780,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium lanceolatum strain B146 18S ribosomal RNA gene, partial sequence.",Planothidium lanceolatum,B:DNA:26839,,IBIW:coll. M. Kulikovskiy B146,B,DNA,26839,IBIW,,coll. M. Kulikovskiy B146,,
KY650806,Russia:Lake Baikal,52.45 N 106.89 E,"Planothidium caputium strain B086-3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit gene, partial cds; plastid.",Planothidium caputium,B:DNA:26836,,IBIW:coll. M. Kulikovskiy B086-3,B,DNA,26836,IBIW,,coll. M. Kulikovskiy B086-3,,
KY650807,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium caputium strain B141 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit gene, partial cds; plastid.",Planothidium caputium,B:DNA:26837,,IBIW:coll. M. Kulikovskiy B141,B,DNA,26837,IBIW,,coll. M. Kulikovskiy B141,,
KY650808,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium caputium strain B144 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit gene, partial cds; plastid.",Planothidium caputium,B:DNA:26838,,IBIW:coll. M. Kulikovskiy B144,B,DNA,26838,IBIW,,coll. M. Kulikovskiy B144,,
KY650809,Russia:Lake Baikal,52.48 N 106.96 E,"Planothidium lanceolatum strain B146 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit gene, partial cds; plastid.",Planothidium lanceolatum,B:DNA:26839,,IBIW:coll. M. Kulikovskiy B146,B,DNA,26839,IBIW,,coll. M. Kulikovskiy B146,,
LR742528,Germany,52.4526 N 13.3077 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D127_033",Gomphonema acuminatum,B:DNA Bank:DB 27920,,B:Herbarium Berolinense:B 40 0042155,B,DNA Bank,DB 27920,B,Herbarium Berolinense,B 40 0042155,,PRJEB35591
LR742529,Germany,52.4526 N 13.3077 E,"Gomphonema truncatum chloroplast rbcL gene, partial sequence, isolate D127_041",Gomphonema truncatum,B:DNA Bank:DB 27922,,B:Herbarium Berolinense:B 40 0042197,B,DNA Bank,DB 27922,B,Herbarium Berolinense,B 40 0042197,,PRJEB35591
LR742530,Germany,52.4526 N 13.3077 E,"Gomphonema truncatum chloroplast rbcL gene, partial sequence, isolate D127_053",Gomphonema truncatum,B:DNA Bank:DB 27927,,B:Herbarium Berolinense:B 40 0042219,B,DNA Bank,DB 27927,B,Herbarium Berolinense,B 40 0042219,,PRJEB35591
LR742531,Germany,52.5847 N 13.275 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D128_009",Gomphonema acuminatum,B:DNA Bank:DB 27933,,B:Herbarium Berolinense:B 40 0042112,B,DNA Bank,DB 27933,B,Herbarium Berolinense,B 40 0042112,,PRJEB35591
LR742532,Germany,52.4432 N 13.6763 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D129_059",Gomphonema capitatum,B:DNA Bank:DB 27986,,B:Herbarium Berolinense:B 40 0042159,B,DNA Bank,DB 27986,B,Herbarium Berolinense,B 40 0042159,,PRJEB35591
LR742533,Germany,52.4432 N 13.6763 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D129_060",Gomphonema capitatum,B:DNA Bank:DB 27987,,B:Herbarium Berolinense:B 40 0042178,B,DNA Bank,DB 27987,B,Herbarium Berolinense,B 40 0042178,,PRJEB35591
LR742534,Germany,52.5847 N 13.275 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D130_052",Gomphonema capitatum,B:DNA Bank:DB 28001,,B:Herbarium Berolinense:B 40 0042181,B,DNA Bank,DB 28001,B,Herbarium Berolinense,B 40 0042181,,PRJEB35591
LR742535,Germany,51.4597 N 11.946 E,"Gomphonema augur chloroplast rbcL gene, partial sequence, isolate D132_005",Gomphonema augur,B:DNA Bank:DB 28017,,B:Herbarium Berolinense:B 40 0042265,B,DNA Bank,DB 28017,B,Herbarium Berolinense,B 40 0042265,,PRJEB35591
LR742536,Germany,51.4597 N 11.946 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D132_008",Gomphonema acuminatum,B:DNA Bank:DB 28018,,B:Herbarium Berolinense:B 40 0042152,B,DNA Bank,DB 28018,B,Herbarium Berolinense,B 40 0042152,,PRJEB35591
LR742537,Germany,51.4597 N 11.946 E,"Gomphonema augur chloroplast rbcL gene, partial sequence, isolate D132_020",Gomphonema augur,B:DNA Bank:DB 28024,,B:Herbarium Berolinense:B 40 0042238,B,DNA Bank,DB 28024,B,Herbarium Berolinense,B 40 0042238,,PRJEB35591
LR742538,Germany,54.3979 N 13.6067 E,"Gomphonema subclavatum chloroplast rbcL gene, partial sequence, isolate D133_011",Gomphonema subclavatum,B:DNA Bank:DB 28048,,B:Herbarium Berolinense:B 40 0042193,B,DNA Bank,DB 28048,B,Herbarium Berolinense,B 40 0042193,,PRJEB35591
LR742539,Germany,54.3979 N 13.6067 E,"Gomphonema subclavatum chloroplast rbcL gene, partial sequence, isolate D133_012",Gomphonema subclavatum,B:DNA Bank:DB 28049,,B:Herbarium Berolinense:B 40 0042194,B,DNA Bank,DB 28049,B,Herbarium Berolinense,B 40 0042194,,PRJEB35591
LR742540,Germany,49.8013 N 11.2617 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D136_032",Gomphonema capitatum,B:DNA Bank:DB 28081,,B:Herbarium Berolinense:B 40 0042241,B,DNA Bank,DB 28081,B,Herbarium Berolinense,B 40 0042241,,PRJEB35591
LR742541,Germany,49.8013 N 11.2617 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D136_045",Gomphonema acuminatum,B:DNA Bank:DB 28090,,B:Herbarium Berolinense:B 40 0042270,B,DNA Bank,DB 28090,B,Herbarium Berolinense,B 40 0042270,,PRJEB35591
LR742542,Germany,52.4245 N 13.7264 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D137_011",Gomphonema capitatum,B:DNA Bank:DB 28095,,B:Herbarium Berolinense:B 40 0042242,B,DNA Bank,DB 28095,B,Herbarium Berolinense,B 40 0042242,,PRJEB35591
LR742544,Germany,52.5918 N 13.2785 E,"Gomphonema capitatum chloroplast rbcL gene, partial sequence, isolate D157_024",Gomphonema capitatum,B:DNA Bank:DB 28254,,B:Herbarium Berolinense:B 40 0042448,B,DNA Bank,DB 28254,B,Herbarium Berolinense,B 40 0042448,,PRJEB35591
LR742546,Germany,52.4266 N 13.6434 E,"Reimeria uniseriata chloroplast rbcL gene, partial sequence, isolate D161_010",Reimeria uniseriata,B:DNA Bank:DB 28299,,B:Herbarium Berolinense:B 40 0042453,B,DNA Bank,DB 28299,B,Herbarium Berolinense,B 40 0042453,,PRJEB35591
LR742547,Germany,52.3354 N 13.0005 E,"Gomphonema truncatum chloroplast rbcL gene, partial sequence, isolate D193_022",Gomphonema truncatum,B:DNA Bank:DB 28568,,B:Herbarium Berolinense:B 40 0042783,B,DNA Bank,DB 28568,B,Herbarium Berolinense,B 40 0042783,,PRJEB35591
LR742548,Germany,52.3354 N 13.0005 E,"Gomphonema angusticephalum chloroplast rbcL gene, partial sequence, isolate D193_035",Gomphonema angusticephalum,B:DNA Bank:DB 28580,,B:Herbarium Berolinense:B 40 0042894,B,DNA Bank,DB 28580,B,Herbarium Berolinense,B 40 0042894,,PRJEB35591
LR742549,Germany,52.3354 N 13.0005 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D194_003",Gomphonema acuminatum,B:DNA Bank:DB 28582,,B:Herbarium Berolinense:B 40 0042765,B,DNA Bank,DB 28582,B,Herbarium Berolinense,B 40 0042765,,PRJEB35591
LR742550,Germany,52.3354 N 13.0005 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D194_011",Gomphonema acuminatum,B:DNA Bank:DB 28586,,B:Herbarium Berolinense:B 40 0042768,B,DNA Bank,DB 28586,B,Herbarium Berolinense,B 40 0042768,,PRJEB35591
LR742551,Germany,52.3354 N 13.0005 E,"Gomphonema sp. D194_026 chloroplast rbcL gene, partial sequence, isolate D194_026",Gomphonema sp. D194_026,B:DNA Bank:DB 28595,,B:Herbarium Berolinense:B 40 0042877,B,DNA Bank,DB 28595,B,Herbarium Berolinense,B 40 0042877,,PRJEB35591
LR742552,Germany,52.2676 N 14.5033 E,"Gomphonema sp. D201_004 chloroplast rbcL gene, partial sequence, isolate D201_004",Gomphonema sp. D201_004,B:DNA Bank:DB 28607,,B:Herbarium Berolinense:B 40 0042795,B,DNA Bank,DB 28607,B,Herbarium Berolinense,B 40 0042795,,PRJEB35591
LR742553,Germany,52.2692 N 14.5147 E,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D206_002",Gomphonema acuminatum,B:DNA Bank:DB 28635,,B:Herbarium Berolinense:B 40 0042801,B,DNA Bank,DB 28635,B,Herbarium Berolinense,B 40 0042801,,PRJEB35591
LR742554,Iceland,65.3735 N 15.8852 W,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D207_018",Gomphonema acuminatum,B:DNA Bank:DB 28647,,B:Herbarium Berolinense:B 40 0042805,B,DNA Bank,DB 28647,B,Herbarium Berolinense,B 40 0042805,,PRJEB35591
LR742555,Iceland,63.9246 N 21.9981 W,"Gomphonema acuminatum chloroplast rbcL gene, partial sequence, isolate D208_011",Gomphonema acuminatum,B:DNA Bank:DB 28669,,B:Herbarium Berolinense:B 40 0042908,B,DNA Bank,DB 28669,B,Herbarium Berolinense,B 40 0042908,,PRJEB35591
LR742582,Germany,52.4526 N 13.3077 E,"Gomphonema acuminatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D127_033",Gomphonema acuminatum,B:DNA Bank:DB 27920,,B:Herbarium Berolinense:B 40 0042155,B,DNA Bank,DB 27920,B,Herbarium Berolinense,B 40 0042155,,PRJEB35591
LR742583,Germany,52.4526 N 13.3077 E,"Gomphonema truncatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D127_041",Gomphonema truncatum,B:DNA Bank:DB 27922,,B:Herbarium Berolinense:B 40 0042197,B,DNA Bank,DB 27922,B,Herbarium Berolinense,B 40 0042197,,PRJEB35591
LR742584,Germany,52.4526 N 13.3077 E,"Gomphonema truncatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D127_053",Gomphonema truncatum,B:DNA Bank:DB 27927,,B:Herbarium Berolinense:B 40 0042219,B,DNA Bank,DB 27927,B,Herbarium Berolinense,B 40 0042219,,PRJEB35591
LR742585,Germany,52.5847 N 13.275 E,"Gomphonema acuminatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D128_009",Gomphonema acuminatum,B:DNA Bank:DB 27933,,B:Herbarium Berolinense:B 40 0042112,B,DNA Bank,DB 27933,B,Herbarium Berolinense,B 40 0042112,,PRJEB35591
LR742586,Germany,52.4432 N 13.6763 E,"Gomphonema capitatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D129_060",Gomphonema capitatum,B:DNA Bank:DB 27987,,B:Herbarium Berolinense:B 40 0042178,B,DNA Bank,DB 27987,B,Herbarium Berolinense,B 40 0042178,,PRJEB35591
LR742587,Germany,52.5847 N 13.275 E,"Gomphonema capitatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D130_052",Gomphonema capitatum,B:DNA Bank:DB 28001,,B:Herbarium Berolinense:B 40 0042181,B,DNA Bank,DB 28001,B,Herbarium Berolinense,B 40 0042181,,PRJEB35591
LR742588,Germany,51.4597 N 11.946 E,"Gomphonema acuminatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D132_008",Gomphonema acuminatum,B:DNA Bank:DB 28018,,B:Herbarium Berolinense:B 40 0042152,B,DNA Bank,DB 28018,B,Herbarium Berolinense,B 40 0042152,,PRJEB35591
LR742589,Germany,51.4597 N 11.946 E,"Gomphonema augur nuclear ribosomal 18S rRNA gene, partial sequence, isolate D132_020",Gomphonema augur,B:DNA Bank:DB 28024,,B:Herbarium Berolinense:B 40 0042238,B,DNA Bank,DB 28024,B,Herbarium Berolinense,B 40 0042238,,PRJEB35591
LR742590,Germany,54.3979 N 13.6067 E,"Gomphonema subclavatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D133_011",Gomphonema subclavatum,B:DNA Bank:DB 28048,,B:Herbarium Berolinense:B 40 0042193,B,DNA Bank,DB 28048,B,Herbarium Berolinense,B 40 0042193,,PRJEB35591
LR742591,Germany,54.3979 N 13.6067 E,"Gomphonema subclavatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D133_012",Gomphonema subclavatum,B:DNA Bank:DB 28049,,B:Herbarium Berolinense:B 40 0042194,B,DNA Bank,DB 28049,B,Herbarium Berolinense,B 40 0042194,,PRJEB35591
LR742592,Germany,49.8013 N 11.2617 E,"Gomphonema acuminatum nuclear ribosomal 18S rRNA gene, partial sequence, isolate D136_045",Gomphonema acuminatum,B:DNA Bank:DB 28090,,B:Herbarium Berolinense:B 40 0042270,B,DNA Bank,DB 28090,B,Herbarium Berolinense,B 40 0042270,,PRJEB35591
LR742595,Germany,52.4266 N 13.6434 E,"Reimeria uniseriata nuclear ribosomal 18S rRNA gene, partial sequence, isolate D161_010",Reimeria uniseriata,B:DNA Bank:DB 28299,,B:Herbarium Berolinense:B 40 0042453,B,DNA Bank,DB 28299,B,Herbarium Berolinense,B 40 0042453,,PRJEB35591
MF079255,"USA:North Carolina, YMCA Blue Ridge Assembly",35.58 N 82.34 W,"Hydnum subconnatum voucher Mushroom Observer # 276213 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Hydnum subconnatum,NAMA-2015-225,,Mushroom Observer # 276213,,,NAMA-2015-225,,,Mushroom Observer # 276213,,
MF351706,Uzbekistan,,"Pseudonapaeus albiplicatus voucher 31 small subunit ribosomal RNA gene, partial sequence.",Pseudonapaeus albiplicatus,Gastropoda,,31,,,Gastropoda,,,31,,
MF351707,Uzbekistan,,"Deroceras reticulatum voucher 28 small subunit ribosomal RNA gene, partial sequence.",Deroceras reticulatum,Gastropoda,,28,,,Gastropoda,,,28,,
MF351722,Uzbekistan,,"Angiomphalia regeliana voucher 27 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence.",Angiomphalia regeliana,Gastropoda,,27,,,Gastropoda,,,27,,
MF351724,Uzbekistan,,"Angiomphalia regeliana voucher 27 small subunit ribosomal RNA gene, partial sequence.",Angiomphalia regeliana,Gastropoda,,27,,,Gastropoda,,,27,,
MF398491,Uzbekistan,,"Pseudonapaeus maydanica voucher 25 internal transcribed spacer 1, partial sequence.",Pseudonapaeus maydanica,Gastropoda,,25,,,Gastropoda,,,25,,
MF398492,Uzbekistan,,"Xeropicta candaharica voucher 33 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence.",Xeropicta candaharica,Gastropoda,,33,,,Gastropoda,,,33,,
MF398494,Uzbekistan,,"Deroceras reticulatum voucher 28 internal transcribed spacer 1, partial sequence.",Deroceras reticulatum,Gastropoda,,28,,,Gastropoda,,,28,,
MF398495,Uzbekistan,,"Pseudonapaeus sogdianus voucher 30 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence.",Pseudonapaeus sogdianus,Gastropoda,,30,,,Gastropoda,,,30,,
MF398497,Uzbekistan,,"Pseudonapaeus albiplicatus voucher 31 internal transcribed spacer 1, partial sequence.",Pseudonapaeus albiplicatus,Gastropoda,,31,,,Gastropoda,,,31,,
MF398531,Uzbekistan,,"Candaharia levanderi voucher 29 small subunit ribosomal RNA gene, partial sequence.",Candaharia levanderi,Gastropoda,,29,,,Gastropoda,,,29,,
MF398532,Uzbekistan,,"Pseudonapaeus sp. AEK-2017 voucher 34 small subunit ribosomal RNA gene, partial sequence.",Pseudonapaeus sp. AEK-2017,Gastropoda,,34,,,Gastropoda,,,34,,
MF398533,Uzbekistan,,"Pseudonapaeus sogdianus voucher 30 small subunit ribosomal RNA gene, partial sequence.",Pseudonapaeus sogdianus,Gastropod,,30,,,Gastropod,,,30,,
MF398534,Uzbekistan,,"Candaharia levanderi voucher 29 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence.",Candaharia levanderi,Gastropoda,,29,,,Gastropoda,,,29,,
MF398535,Uzbekistan,,"Pseudonapaeus maydanica voucher 25 small subunit ribosomal RNA gene, partial sequence.",Pseudonapaeus maydanica,Gastropod,,25,,,Gastropod,,,25,,
MF398538,Uzbekistan,,"Pseudonapaeus sp. AEK-2017 voucher 34 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence.",Pseudonapaeus sp. AEK-2017,Gastropoda,,34,,,Gastropoda,,,34,,
MF398539,Uzbekistan,,"Xeropicta candaharica voucher 33 small subunit ribosomal RNA gene, partial sequence.",Xeropicta candaharica,Gastropoda,,33,,,Gastropoda,,,33,,
MF426964,"Spain: Canary Islands, Fuerteventura, Cumbre de Jandia, Morro del Jorao (via Barranco de los Canarios)",28.12 N 14.33 W,"Echinodera jandiaensis voucher ZFMK-TIS-23893 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Echinodera jandiaensis,ZFMK-DNA-0171661251,,ZFMK-TIS-23893,,,ZFMK-DNA-0171661251,,,ZFMK-TIS-23893,,
MF426967,"Spain: Canary Islands, Gran Canaria, Angostura, Barranco de Santa Brigida",28.05 N 15.48 W,"Echinodera kratkyi voucher ZFMK-TIS-26214 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Echinodera kratkyi,ZFMK-DNA-0171661895,,ZFMK-TIS-26214,,,ZFMK-DNA-0171661895,,,ZFMK-TIS-26214,,
MF426969,"Portugal: Madeira, Achadas da Cruz",32.86 N 17.21 W,"Madeiracalles succulentus voucher 17510_2851-PST_4246 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Madeiracalles succulentus,ZFMK-DNA-FC17941479,,17510_2851-PST_4246,,,ZFMK-DNA-FC17941479,,,17510_2851-PST_4246,,
MF426970,"Portugal: Madeira, Achadas da Cruz",32.86 N 17.21 W,"Madeiracalles succulentus voucher 17512_2853-PST_4248 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial.",Madeiracalles succulentus,ZFMK-DNA-FC17941495,,17512_2853-PST_4248,,,ZFMK-DNA-FC17941495,,,17512_2853-PST_4248,,
MF537260,Bangladesh:Sundarbans,22.09 N 89.43 E,"Polynemus paradiseus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Polynemus paradiseus,Fish muscle,,F1511sb-29a,,,Fish muscle,,,F1511sb-29a,,
MF565487,Bangladesh,21.77 N 89.56 E,"Scylla olivacea voucher C1608Sb-94 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Scylla olivacea,Crab,,C1608Sb-94,,,Crab,,,C1608Sb-94,,
MF565488,Bangladesh,21.77 N 89.56 E,"Scylla olivacea voucher C1608Sb-111 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Scylla olivacea,Crab,,C1608Sb-111,,,Crab,,,C1608Sb-111,,
MG131906,Turkey,41.0 N 52.31 E,"Syngnathus abaster voucher IKC.PIS.1222 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus abaster,S. abaster-Ordu-2,,IKC.PIS.1222,,,S. abaster-Ordu-2,,,IKC.PIS.1222,,
MG131907,Turkey,41.0 N 52.31 E,"Syngnathus abaster voucher IKC.PIS.1223 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus abaster,S. abaster-Ordu-3,,IKC.PIS.1223,,,S. abaster-Ordu-3,,,IKC.PIS.1223,,
MG131908,Turkey,41.0 N 52.31 E,"Syngnathus abaster voucher IKC.PIS.1224 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus abaster,S. abaster-Ordu-4,,IKC.PIS.1224,,,S. abaster-Ordu-4,,,IKC.PIS.1224,,
MG131909,Turkey,41.0 N 52.31 E,"Syngnathus abaster voucher IKC.PIS.1225 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus abaster,S. abaster-Ordu-5,,IKC.PIS.1225,,,S. abaster-Ordu-5,,,IKC.PIS.1225,,
MG131910,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1177 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-1,,IKC.PIS.1177,,,S.typhle-Sinop-1,,,IKC.PIS.1177,,
MG131911,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1178 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-2,,IKC.PIS.1178,,,S.typhle-Sinop-2,,,IKC.PIS.1178,,
MG131912,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1179 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-3,,IKC.PIS.1179,,,S.typhle-Sinop-3,,,IKC.PIS.1179,,
MG131913,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1180 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-4,,IKC.PIS.1180,,,S.typhle-Sinop-4,,,IKC.PIS.1180,,
MG131914,Turkey,42.03 N 35.02 E,"Syngnathus typhle voucher IKC.PIS.1181 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Sinop-5,,IKC.PIS.1181,,,S.typhle-Sinop-5,,,IKC.PIS.1181,,
MG131915,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1182 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-1,,IKC.PIS.1182,,,S.typhle-Rize-1,,,IKC.PIS.1182,,
MG131916,Turkey,41.01 N 40.22 E,"Syngnathus typhle voucher IKC.PIS.1183 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.",Syngnathus typhle,S.typhle-Rize-2,,IKC.PIS.1183,,,S.typhle-Rize-2,,,IKC.PIS.1183,,
