accession,country,location,description,scientific_name,bio_material,culture_collection,specimen_voucher,institution_codeA,culture_id,institution_codeB,specimen_id,sample_accession,study_accession
LS398281,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP415, specimen voucher PMA:116080",Hermatomyces sphaericus,,CCF:5911,PMA:116080,CCF,5911,PMA,116080,,PRJEB23733
LS398282,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP441, specimen voucher UCH",Hermatomyces sphaericus,,KZP:441,UCH,KZP,441,,UCH,,PRJEB23733
LS398283,"Panama:Chiriqui province, Boquete, Lago La Estrella",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP445, specimen voucher PMA:116081",Hermatomyces sphaericus,,CCF:5914,PMA:116081,CCF,5914,PMA,116081,,PRJEB23733
LS398284,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP458, specimen voucher PRM:946201",Hermatomyces sphaericus,,CCF:5916,PRM:946201,CCF,5916,PRM,946201,,PRJEB23733
LS398285,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP459, specimen voucher PMA:116082",Hermatomyces sphaericus,,CCF:5917,PMA:116082,CCF,5917,PMA,116082,,PRJEB23733
LS398286,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, strain KZP460, specimen voucher PRC:4105",Hermatomyces sphaericus,,KZP:460,PRC:4105,KZP,460,PRC,4105,,PRJEB23733
LS398287,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP462, specimen voucher UCH",Hermatomyces sphaericus,,KZP:462,UCH,KZP,462,,UCH,,PRJEB23733
LS398288,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP443, specimen voucher UCH",Hermatomyces tucumanensis,,CCF:5912,UCH,CCF,5912,,UCH,,PRJEB23733
LS398289,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP444, specimen voucher PMA:116083",Hermatomyces tucumanensis,,CCF:5913,PMA:116083,CCF,5913,PMA,116083,,PRJEB23733
LS398290,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP453, specimen voucher PRM:946202",Hermatomyces tucumanensis,,CCF:5915,PRM:946202,CCF,5915,PRM,946202,,PRJEB23733
LS398291,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP171, specimen voucher PRM:946203",Hermatomyces sp. 6-2018,,CCF:5892,PRM:946203,CCF,5892,PRM,946203,,PRJEB23733
LS398292,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain KZP377, specimen voucher PMA:116084",Hermatomyces sp. 6-2018,,CCF:5903,PMA:116084,CCF,5903,PMA,116084,,PRJEB23733
LS398343,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP352, specimen voucher PRM:946196",Hermatomyces sp. 1-2018,,CCF:5899,PRM:946196,CCF,5899,PRM,946196,,PRJEB23733
LS398344,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP353, specimen voucher PMA:116075",Hermatomyces sp. 1-2018,,CCF:5900,PMA:116075,CCF,5900,PMA,116075,,PRJEB23733
LS398345,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 2-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP408, specimen voucher PMA:116076",Hermatomyces sp. 2-2018,,CCF:5904,PMA:116076,CCF,5904,PMA,116076,,PRJEB23733
LS398346,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 3-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP300, specimen voucher PRM:946198",Hermatomyces sp. 3-2018,,CCF:5897,PRM:946198,CCF,5897,PRM,946198,,PRJEB23733
LS398347,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP191, specimen voucher PRM:946199",Hermatomyces sp. 4-2018,,CCF:5893,PRM:946199,CCF,5893,PRM,946199,,PRJEB23733
LS398348,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP409, specimen voucher PMA:116078",Hermatomyces sp. 4-2018,,CCF:5905,PMA:116078,CCF,5905,PMA,116078,,PRJEB23733
LS398349,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP414, specimen voucher PRC:4098",Hermatomyces sp. 5-2018,,CCF:5910,PRC:4098,CCF,5910,PRC,4098,,PRJEB23733
LS398350,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP320, specimen voucher PRC:4102",Hermatomyces sp. 5-2018,,CCF:5895,PRC:4102,CCF,5895,PRC,4102,,PRJEB23733
LS398351,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP326, specimen voucher PRC:4103",Hermatomyces sp. 5-2018,,CCF:5896,PRC:4103,CCF,5896,PRC,4103,,PRJEB23733
LS398352,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP412, specimen voucher PMA116079",Hermatomyces sp. 5-2018,,CCF:5908,PMA116079,CCF,5908,,PMA116079,,PRJEB23733
LS398353,"Panama:Bocas del Toro province,  along the road between Almirante and Rambala",,"Hermatomyces sp. 5-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP470, specimen voucher UCH",Hermatomyces sp. 5-2018,,KZP:470,UCH,KZP,470,,UCH,,PRJEB23733
LS398354,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP241, specimen voucher PRC:4100",Hermatomyces sphaericus,,CCF:5894,PRC:4100,CCF,5894,PRC,4100,,PRJEB23733
LS398355,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP375, specimen voucher PRC:4104",Hermatomyces sphaericus,,CCF:5901,PRC:4104,CCF,5901,PRC,4104,,PRJEB23733
LS398356,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP415, specimen voucher PMA:116080",Hermatomyces sphaericus,,CCF:5911,PMA:116080,CCF,5911,PMA,116080,,PRJEB23733
LS398357,"Panama:Chiriqui province, Boquete, Lago La Estrella",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP445, specimen voucher PMA:116081",Hermatomyces sphaericus,,CCF:5914,PMA:116081,CCF,5914,PMA,116081,,PRJEB23733
LS398358,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP458, specimen voucher PRM:946201",Hermatomyces sphaericus,,CCF:5916,PRM:946201,CCF,5916,PRM,946201,,PRJEB23733
LS398359,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP462, specimen voucher UCH",Hermatomyces sphaericus,,KZP:462,UCH,KZP,462,,UCH,,PRJEB23733
LS398360,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP443, specimen voucher UCH",Hermatomyces tucumanensis,,CCF:5912,UCH,CCF,5912,,UCH,,PRJEB23733
LS398361,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP444, specimen voucher PMA:116083",Hermatomyces tucumanensis,,CCF:5913,PMA:116083,CCF,5913,PMA,116083,,PRJEB23733
LS398362,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP453, specimen voucher PRM:946202",Hermatomyces tucumanensis,,CCF:5915,PRM:946202,CCF,5915,PRM,946202,,PRJEB23733
LS398363,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP171, specimen voucher PRM:946203",Hermatomyces sp. 6-2018,,CCF:5892,PRM:946203,CCF,5892,PRM,946203,,PRJEB23733
LS398364,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial RPB2 gene for RNA polymerase II large subunit 2, strain KZP377, specimen voucher PMA:116084",Hermatomyces sp. 6-2018,,CCF:5903,PMA:116084,CCF,5903,PMA,116084,,PRJEB23733
LS398416,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP352, specimen voucher PRM:946196",Hermatomyces sp. 1-2018,,CCF:5899,PRM:946196,CCF,5899,PRM,946196,,PRJEB23733
LS398417,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP353, specimen voucher PMA:116075",Hermatomyces sp. 1-2018,,CCF:5900,PMA:116075,CCF,5900,PMA,116075,,PRJEB23733
LS398418,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 2-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP408, specimen voucher PMA:116076",Hermatomyces sp. 2-2018,,CCF:5904,PMA:116076,CCF,5904,PMA,116076,,PRJEB23733
LS398419,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 3-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP300, specimen voucher PRM:946198",Hermatomyces sp. 3-2018,,CCF:5897,PRM:946198,CCF,5897,PRM,946198,,PRJEB23733
LS398420,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail, close to the waterfall",,"Hermatomyces sp. 3-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP351, specimen voucher PMA:116077",Hermatomyces sp. 3-2018,,CCF:5898,PMA:116077,CCF,5898,PMA,116077,,PRJEB23733
LS398421,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP191, specimen voucher PRM:946199",Hermatomyces sp. 4-2018,,CCF:5893,PRM:946199,CCF,5893,PRM,946199,,PRJEB23733
LS398422,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP409, specimen voucher PMA:116078",Hermatomyces sp. 4-2018,,CCF:5905,PMA:116078,CCF,5905,PMA,116078,,PRJEB23733
LS398423,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP414, specimen voucher PRC:4098",Hermatomyces sp. 5-2018,,CCF:5910,PRC:4098,CCF,5910,PRC,4098,,PRJEB23733
LS398424,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP320, specimen voucher PRC:4102",Hermatomyces sp. 5-2018,,CCF:5895,PRC:4102,CCF,5895,PRC,4102,,PRJEB23733
LS398425,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP326, specimen voucher PRC:4103",Hermatomyces sp. 5-2018,,CCF:5896,PRC:4103,CCF,5896,PRC,4103,,PRJEB23733
LS398426,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP411, specimen voucher PRM:946200",Hermatomyces sp. 5-2018,,CCF:5907,PRM:946200,CCF,5907,PRM,946200,,PRJEB23733
LS398427,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP412, specimen voucher PMA116079",Hermatomyces sp. 5-2018,,CCF:5908,PMA116079,CCF,5908,,PMA116079,,PRJEB23733
LS398428,"Panama:Bocas del Toro province,  along the road between Almirante and Rambala",,"Hermatomyces sp. 5-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP470, specimen voucher UCH",Hermatomyces sp. 5-2018,,KZP:470,UCH,KZP,470,,UCH,,PRJEB23733
LS398429,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP241, specimen voucher PRC:4100",Hermatomyces sphaericus,,CCF:5894,PRC:4100,CCF,5894,PRC,4100,,PRJEB23733
LS398430,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP375, specimen voucher PRC:4104",Hermatomyces sphaericus,,CCF:5901,PRC:4104,CCF,5901,PRC,4104,,PRJEB23733
LS398431,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP415, specimen voucher PMA:116080",Hermatomyces sphaericus,,CCF:5911,PMA:116080,CCF,5911,PMA,116080,,PRJEB23733
LS398432,"Panama:Chiriqui province, Boquete, Lago La Estrella",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP445, specimen voucher PMA:116081",Hermatomyces sphaericus,,CCF:5914,PMA:116081,CCF,5914,PMA,116081,,PRJEB23733
LS398433,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP458, specimen voucher PRM:946201",Hermatomyces sphaericus,,CCF:5916,PRM:946201,CCF,5916,PRM,946201,,PRJEB23733
LS398434,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial tef1a gene for translation elongation factor 1 alpha, strain KZP462, specimen voucher UCH",Hermatomyces sphaericus,,KZP:462,UCH,KZP,462,,UCH,,PRJEB23733
LS398435,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tef1a gene for translation elongation factor 1 alpha, strain KZP443, specimen voucher UCH",Hermatomyces tucumanensis,,CCF:5912,UCH,CCF,5912,,UCH,,PRJEB23733
LS398436,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tef1a gene for translation elongation factor 1 alpha, strain KZP444, specimen voucher PMA:116083",Hermatomyces tucumanensis,,CCF:5913,PMA:116083,CCF,5913,PMA,116083,,PRJEB23733
LS398437,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tef1a gene for translation elongation factor 1 alpha, strain KZP453, specimen voucher PRM:946202",Hermatomyces tucumanensis,,CCF:5915,PRM:946202,CCF,5915,PRM,946202,,PRJEB23733
LS398438,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP171, specimen voucher PRM:946203",Hermatomyces sp. 6-2018,,CCF:5892,PRM:946203,CCF,5892,PRM,946203,,PRJEB23733
LS398439,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial tef1a gene for translation elongation factor 1 alpha, strain KZP377, specimen voucher PMA:116084",Hermatomyces sp. 6-2018,,CCF:5903,PMA:116084,CCF,5903,PMA,116084,,PRJEB23733
LS398441,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial tubb gene for beta tubulin, strain KZP352, specimen voucher PRM:946196",Hermatomyces sp. 1-2018,,CCF:5899,PRM:946196,CCF,5899,PRM,946196,,PRJEB23733
LS398442,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 1-2018 partial tubb gene for beta tubulin, strain KZP353, specimen voucher PMA:116075",Hermatomyces sp. 1-2018,,CCF:5900,PMA:116075,CCF,5900,PMA,116075,,PRJEB23733
LS398443,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 2-2018 partial tubb gene for beta tubulin, strain KZP408, specimen voucher PMA:116076",Hermatomyces sp. 2-2018,,CCF:5904,PMA:116076,CCF,5904,PMA,116076,,PRJEB23733
LS398444,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail",,"Hermatomyces sp. 3-2018 partial tubb gene for beta tubulin, strain KZP300, specimen voucher PRM:946198",Hermatomyces sp. 3-2018,,CCF:5897,PRM:946198,CCF,5897,PRM,946198,,PRJEB23733
LS398445,"Panama:Chiriqui province, Boquete, Bajo Mono, pipe line trail, close to the waterfall",,"Hermatomyces sp. 3-2018 partial tubb gene for beta tubulin, strain KZP351, specimen voucher PMA:116077",Hermatomyces sp. 3-2018,,CCF:5898,PMA:116077,CCF,5898,PMA,116077,,PRJEB23733
LS398446,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 4-2018 partial tubb gene for beta tubulin, strain KZP191, specimen voucher PRM:946199",Hermatomyces sp. 4-2018,,CCF:5893,PRM:946199,CCF,5893,PRM,946199,,PRJEB23733
LS398447,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial tubb gene for beta tubulin, strain KZP320, specimen voucher PRC:4102",Hermatomyces sp. 5-2018,,CCF:5895,PRC:4102,CCF,5895,PRC,4102,,PRJEB23733
LS398448,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sp. 5-2018 partial tubb gene for beta tubulin, strain KZP326, specimen voucher PRC:4103",Hermatomyces sp. 5-2018,,CCF:5896,PRC:4103,CCF,5896,PRC,4103,,PRJEB23733
LS398449,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial tubb gene for beta tubulin, strain KZP411, specimen voucher PRM:946200",Hermatomyces sp. 5-2018,,CCF:5907,PRM:946200,CCF,5907,PRM,946200,,PRJEB23733
LS398450,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sp. 5-2018 partial tubb gene for beta tubulin, strain KZP412, specimen voucher PMA116079",Hermatomyces sp. 5-2018,,CCF:5908,PMA116079,CCF,5908,,PMA116079,,PRJEB23733
LS398451,"Panama:Bocas del Toro province,  along the road between Almirante and Rambala",,"Hermatomyces sp. 5-2018 partial tubb gene for beta tubulin, strain KZP470, specimen voucher UCH",Hermatomyces sp. 5-2018,,KZP:470,UCH,KZP,470,,UCH,,PRJEB23733
LS398452,"Panama:Chiriqui province, Los Algarrobos, path to Rio Majagua",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP241, specimen voucher PRC:4100",Hermatomyces sphaericus,,CCF:5894,PRC:4100,CCF,5894,PRC,4100,,PRJEB23733
LS398453,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP375, specimen voucher PRC:4104",Hermatomyces sphaericus,,CCF:5901,PRC:4104,CCF,5901,PRC,4104,,PRJEB23733
LS398454,"Panama:Chiriqui province, W of Los Algarrobos, path through pastures along Rio Majagua",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP415, specimen voucher PMA:116080",Hermatomyces sphaericus,,CCF:5911,PMA:116080,CCF,5911,PMA,116080,,PRJEB23733
LS398455,"Panama:Chiriqui province, Boquete, Lago La Estrella",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP445, specimen voucher PMA:116081",Hermatomyces sphaericus,,CCF:5914,PMA:116081,CCF,5914,PMA,116081,,PRJEB23733
LS398456,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP458, specimen voucher PRM:946201",Hermatomyces sphaericus,,CCF:5916,PRM:946201,CCF,5916,PRM,946201,,PRJEB23733
LS398457,"Panama:Bocas del Toro province,  along the road between Almirante and Changuinola",,"Hermatomyces sphaericus partial tubb gene for beta tubulin, strain KZP462, specimen voucher UCH",Hermatomyces sphaericus,,KZP:462,UCH,KZP,462,,UCH,,PRJEB23733
LS398458,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tubb gene for beta tubulin, strain KZP443, specimen voucher UCH",Hermatomyces tucumanensis,,CCF:5912,UCH,CCF,5912,,UCH,,PRJEB23733
LS398459,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tubb gene for beta tubulin, strain KZP444, specimen voucher PMA:116083",Hermatomyces tucumanensis,,CCF:5913,PMA:116083,CCF,5913,PMA,116083,,PRJEB23733
LS398460,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces tucumanensis partial tubb gene for beta tubulin, strain KZP453, specimen voucher PRM:946202",Hermatomyces tucumanensis,,CCF:5915,PRM:946202,CCF,5915,PRM,946202,,PRJEB23733
LS398461,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial tubb gene for beta tubulin, strain KZP171, specimen voucher PRM:946203",Hermatomyces sp. 6-2018,,CCF:5892,PRM:946203,CCF,5892,PRM,946203,,PRJEB23733
LS398462,"Panama:Chiriqui province, David, UNACHI, Botanical Garden, along San Cristobal river",,"Hermatomyces sp. 6-2018 partial tubb gene for beta tubulin, strain KZP377, specimen voucher PMA:116084",Hermatomyces sp. 6-2018,,CCF:5903,PMA:116084,CCF,5903,PMA,116084,,PRJEB23733
LS998793,"Czech Republic:N Bohemia, Doubice, Tokan",,"Fusicladium fagi genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate NK145, specimen voucher none",Fusicladium fagi,,NK:145,none,NK,145,,none,,PRJEB26675
LS998794,"Czech Republic:W Bohemia, Plzen, Nova Hospoda, along the road E49",,"Septonema fasciculare genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, isolate NK418, specimen voucher PRC:4126",Septonema fasciculare,,CCF:6123,PRC:4126,CCF,6123,PRC,4126,,PRJEB26675
LS998796,"Czech Republic:N Bohemia, Doubice, Tokan",,"Septonema sp. NK413 genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate NK413, specimen voucher PRC:4117",Septonema sp. NK413,,CCF:6124,PRC:4117,CCF,6124,PRC,4117,,PRJEB26675
LS998799,"Czech Republic:N Bohemia, Doubice, Tokan",,"Septonema sp. NK413 partial tef1a gene for translation elongation factor 1 alpha, specimen voucher PRC:4117, isolate NK413",Septonema sp. NK413,,CCF:6124,PRC:4117,CCF,6124,PRC,4117,,PRJEB26675
LT964670,"Panama:Chiriqui Province, Los Algarrobos village, along a path to Rio Majagua",,"Ernakulamia cochinensis partial 28S rRNA gene, specimen voucher PRC:3992",Ernakulamia cochinensis,,CCF:5738,PRC:3992,CCF,5738,PRC,3992,,PRJEB23733
LT964672,"Panama:Chiriqui Province, Los Algarrobos village, along a path to Rio Majagua",,"Ernakulamia cochinensis partial tubb gene for beta tubulin, specimen voucher PRC:3992",Ernakulamia cochinensis,,CCF:5738,PRC:3992,CCF,5738,PRC,3992,,PRJEB23733
MF077534,Thailand,,"Distoseptispora sp. JY-2017b voucher MFLU:17-0855 small subunit ribosomal RNA gene, partial sequence.",Distoseptispora phangngaensis,,MFLUCC:16-0857,MFLU:17-0855,MFLUCC,16-0857,MFLU,17-0855,,
MF077535,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0853 small subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-0224,MFLU:17-0853,MFLUCC,17-0224,MFLU,17-0853,,
MF077536,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0854 small subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-1305,MFLU:17-0854,MFLUCC,17-1305,MFLU,17-0854,,
MF077545,Thailand,,"Distoseptispora sp. JY-2017b voucher MFLU:17-0855 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Distoseptispora phangngaensis,,MFLUCC:16-0857,MFLU:17-0855,MFLUCC,16-0857,MFLU,17-0855,,
MF077546,China,,"Distoseptispora sp. JY-2017c voucher MFLU:17-0853 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.",Distoseptispora suoluoensis,,MFLUCC:17-0224,MFLU:17-0853,MFLUCC,17-0224,MFLU,17-0853,,
